,ID,Question,Answer,Vote Status,Timestamp
10,11,Accredited University to get Master’s Degree to Process an EB-2 Green Card . In you previous Conference Calls you did mention that you did post videos on USCIS accredited Universities in USA. If a person is doing an MS or MBA in US he/she needs to do it from those accredited universities inorder for the educational evaluation to be done to achieve EB2 Status.Right now I have a 3 years of Bachelors degree from India and do not qualify for EB2 and I am in EB3. I wanted to do an MS or MBA in USA.,The US Department of Education maintains a list of state level agencies who can accredit programs and your university should be able to tell you who has credentials or accredited them or their programs.More...,up,N/A
11,12,"Can a Green Card be Started on F-1 Status? . I am currently on F1 in OPT status and working for Employer A, my Employer A filed for H1b this year. and I am currently waiting for my H1b approval Approval. Can my Employer start my green card process when I am in F1 status?","For people who are born in backed up countries where the priority dates are extremely backed up like India, China, Philippines, Mexico its dangerous to start a green card because F-1 status does not allow you to have immigrant intent whereas statuses like H-1, H-4, L-1, L-2, O-1 etc... allow you to have a dual intent.TN doesn't allow one to have a dual intent, so when you are inthese kindofstatuseswhere the dual intent is not permitted and you file a green card yourun the risk of having trouble in getting any kinds of extensions, visa stamping or reentry into the U.S. But if you are born in a country like Saudi Arabia, Pakistan or Nepal or anywhere in Europe where these dates are not backed up thensometimesit is possible to get the whole green cardwrappedin EB-1, EB-2 or EB-3category within a year.More...",up,N/A
12,13,"Filing green card through multiple categories or employers and/or family simultaneously . 1. Can we file multiple green cards together? If yes what will be the side effect? <br>2. My company filed my green card in EB-2 category and I-140 is approved with priority date 2013. I want to give a try with EB1 category personally if I will try in EB-1 and let’s say it is not approved, then will it affect my EB-2 green card?<br>3. Should job description match in EB-1 and EB-2?<br>4. What may all possible issues occur?",1. The answer is yes. You can file green cards through as many categories as you want to. Both employment as well as a mixture of employment and family or investment. Any number of green cards can be filed as long as they are being filed honestly.,up,N/A
13,14,"Processing Times Involved in NIW . If I may verify the processing times involved in NIW. Since it falls under EB2 category, I am assuming it may be a long time before I can get my EAD card and be able to change employers. Also, I want to confirm if there could be issues if I change employers during the process - If so, I'd prefer to change my current employer before starting with it.",You can change employers any time if you are a self-applicant and will continue to work in your stated area of national interest.  But NIW priority date will take the same time as a normal EB-2 application does.  See:http://www.immigration.com/visa-bulletinunder employment-based category 2.,up,N/A
14,15,"Regarding Form G-884 (Returns of original documents) . I got I-140 approved and also got EAD with EB2 category in April 2012. I need to change my employer but my employer did not give me my green card paper like I-140 approval copy, labor code etc. I have only receipt copy of I-140 and I-485. I heard about USCIS form G-884 (Returns of original documents) which use to get all green card documents from USCIS. I have following questions to ask you. Based on G-884, can I get my all green carddocuments from USCIS without knowing my employer?","Form G-884 is used to request return of documents YOU had sent to USCIS (e.g., your collegedegrees and diplomas). Use FOIA for the purpose you are considering.",up,N/A
15,16,"Concurrent AOS filing for EB-2 Physical Therapist . Is this true ? -  ""If the ‘Schedule A’ application falls into the “EB-2” or Employment Based Second Preference category (the employer requires a Master’s degree in Physical Therapy or a Bachelor’s degree in Physical Therapy + 5 years of experience), then the Adjustment of Status application can be submitted simultaneously with the Form I-140"".","Concurrent filing is possible ONLY if your priority date for EB-2 is current, and not backlogged.",up,N/A
16,17,"Obama's Immigration Action EAD At I-140 Stage . I am on H-1B Visa, got my I-140 approved in EB-2 Category and waiting for the dates to get current. Based on Executive Action, shall I be given any EAD ? Or at least any other forms so that I can travel and need not go for Visa Stamping and all the additional paper work.","I have heard that there is a proposal to allow filing ofI-485at theI-140stage, without waiting for priority dates to be current. This, if implemented, would get you an EAD as well as the right to change jobs under AC21. Unfortunately, there is no clear indication about this proposal in any government document so far.",up,N/A
17,18,"Writ of Mandamus for Govt. Delays . Hello Rajiv Ji,Thanks for your time and responses (over the email). I have below questions.1) I am an EB-2, with Priority date Jun-2008. Applied i-485 in Jan-2012. Cut-off date became current in July-2014. Through congressperson / infopass found that my application is in background checks.1.a) I have given fingerprints 2.5 years ago and background checks are not cleared yet. so what are my options in expediting it?1.b) My worry is the checks may not be cleared before next time dates become current, and I may be in the same situation again.1.b) Can I use Writ of Mandamus? Does my case (485 pending for 2.5 years, current for 2.5 months, but background checks are not completed yet) have enough reasons to claim ""unreasonable delay""?2) I am using my EAD. My labor says ""Senior Analyst"" as my job title.2.a) Can I accept a promotion with a director/managerial job title ?2.b) or does it cause a problem / RFE in future? Duties are more or less similar and work on same software technology, but will have few direct reports and need to manage projects.3) Can I switch to H1-B as a safe measure?3.a) Does switching mean I am abandoning my GC?3.b) Do I need to go out of the country for stamping or can I continue to work without going out?3.b) what are the risks involved?",See the marked clip below from Rajiv's video recording for the answer to this question.https://www.youtube.com/watch?feature=player_detailpage&list=UUm4s1qwOS…,up,N/A
18,19," Indian Experience While Filing PERM . My current employer is failing the GC. Below is the job requirement. My total experience is with the current employer only (2.5 years in INDIA+4.5 years in USA)<br>Job requirement:<br>Education: Master’s degree, or equiv., in computer information systems or related fieldExperience: At least 1 year in position offered or in design defect fixes/enhancementsI have US equivalent Master degree. My attorney said for the experience, we can show your current employer INDIA experience(2.5 years for which i worked in India for the same employer and came USA for the same employer).Can we show current employer India experience while filing PERM?","Generally speaking, you can use the experience gained with an employer who has a tax ID number other than your petitioning employer.generally speaking, you can use the experience gained with an employer who has a tax ID number other than your petitioning employer. - See more at:http://www.immigration.com/comment/14003#comment-14003",up,N/A
19,20,"EB-2 or EB-3 . I have two Bachelor's degrees from US universities. A 3-year Bachelor degree in Science and a 2-year Bachelor's degree in engineering. Will I be considered for a EB-2 visa with this?In case I don't qualify for EB-2, my dilemma is that, I have worked approx 4 years at my current job. Should I wait another year to file EB-2 or should I just file EB-3 now? Also, do internships qualify when counting the number of years of work after school?",Internships do qualify as experience. You need to get your degrees evaluated under AACAO EDGE standards first .,up,N/A
20,21,"GC in L1-A Visa . I have 14 years of overall IT experience and performing Manager, Service delivery role for past 3 years. Planning to enter USA in L-1A visa. I have a team of 30 resources, working in Chennai, Shanghai and San Jose. They all report to me. <br>My Questions:<br>1. How long I need to wait to initiate the GC process?<br>2. Do I have a choice of selecting the type - EB-1 vs EB-2?<br>3. I don't have bachelors or masters degree. Will that be a barrier for applying GC?<br>4. Should I apply ONLY through my employer or can I apply myself","1. You can apply for green card without any wait.2. Yes, but EB-1 is a gazillion times faster for Indian-born people.3. Degree is not a requirement for international managers/execs.4. Your employer needs to apply.",up,N/A
21,22,"EB-2 and 3+2 Pattern of Education . I have a three year Bachelors from India and 16 years of experience in US. Currently I have a pending EB-3 with a PD of 10/2006. I am wondering, if I do MS here (Online or Executive course), will I then qualify for EB-2 or do I need to show progressive experience from the time I get my MS?","If the Master's degree is accredited, you do not need post-Master's experience for EB-2. There can be some issue about the 3+2 pattern of education, but an accredited Master's should fix it.",up,N/A
22,23,"Exhibiting Immigrant Intent  . I currently have a J-1 (for four more years, no HRR). I am thinking about applying for an EB2-NIW. The question is, if I don't get the EB-2, will I have problems with traveling with my J-1? Can the officers at the airport know that I was denied an EB-2 and thus showed immigration intent?","Exhibiting immigrant intent CAN be a problem for J-1. It is not certain that you will have a problem, but the potential does exist.",up,N/A
23,24,EB-2 Visa for a Veterinary Assistant . I live in Bulgaria and I have a Master's Degree in Veterinary Medicine. My question is can I get a EB-2 visa if I work as a veterinary assistant in the USA ?,You can qualify for EB2 only if two conditions are met:1.  Your degree  is equivalent to a U.S. advanced degree (a credentials evaluation  service needs to assess that under proper standards); and2.  The job  requires an advanced degree or equivalent experience.,up,N/A
24,25,"Contacting USCIS when EB-3 is Changed to  EB-2 . How do I contact the USCIS Service Centers to inform that a priority date is current, that an EB case has been upgraded from EB-3 to EB-2, or that dependents have been separated from the principal applicant’s petition?","Send an email to theNebraska Service Center atNCSCfollowup.NSC@dhs.govor theTexas Service Center atTSC.NCSCfollowup@uscis.dhs.gov.  Make sure to include the Case Number and A# of the beneficiary(s).  If applicable, attached scans of any notices for the USCIS to reference.",up,N/A
25,26,Green Card Eligibility Under EB-2 Classification . Is it necessary for a beneficiary petitioned for Green Card under EB-2 classification (based on a U.S Master’s Degree) to have a degree from an accredited U.S. university?,"A Beneficiary’s degree must be from an accredited university in order for the Beneficiary to beconsidered eligible for a Green Card under EB-2 classification. Evidence such as SEVIS certification orstate board approval, which confirm that the university is a legitimate educational institution, is notsufficient to show accreditation for Green Card purposes. A university’s accreditation status may bedetermined from the following website:http://ope.ed.gov/accreditation/You may also want to watch this video Mr. Khanna prepared, “Accreditation of distance education forEB-2” and read the transcript:http://www.immigration.com/media/eb2-green-card/accreditation-distance-…",up,N/A
26,27,Completed Master's Degree in One Year . I have a Master’s Degree in Science. I have been awarded the final Degree certificate by the University. But I completed the conventional 2 year program in just 1 year. Will USCIS see my M.Sc degree incomplete?,This is where the evaluators step in. We have had issues withUSCISin these situations. Evaluation done under EDGE database should convinceUSCIS.,up,N/A
27,28,Qualifying Degrees for EB-2 . What degrees qualify for EB-2?,"In June 2007, the USCIS clarified what is considered to be equivalent to a U.S. Master’s Degree for Employment-Based Category 2. Each petition and its supporting documentation are examined on a case-by-case basis and degree equivalencies are based on the evidence presented with the individualcase. However, the below is provided as a general outline:1. U.S. Master’s Degree – As long as it is in the field required, no additional document is required.2. Four-year Bachelor’s Degree + two-year Master’s Degree (India) – With degrees in the same or related fields, this will generally be considered the equivalent to a U.S. Master’s Degree and no additional document is required.3. Three-year Bachelor’s Degree + three-year Master’s Degree (India) – With degrees in the same or related fields, this will generally be equivalent to a U.S. Master’s Degree and no additional document is required.4. Three-year Bachelor’s Degree + one-year postgraduate diploma + two-year Master’s Degree (India) with degrees in the same or similar field - This would generally be considered the equivalent of a Bachelor’s Degree plus one additional year of education. Therefore, the beneficiary would also need to have five years' progressive experience. If the postgraduate diploma is determined to be progressive postgraduate education that is a continuation of the three-year Bachelor’s Degree, it is possible that this would be considered the equivalent to a U.S. Master’s Degree and there would be no need to establish five years' progressive experience.5. Three-year Bachelor’s Degree + two-year Master’s Degree (India) – Generally, this would be the equivalent of a Bachelor’s Degree + one year and would require five years' progressive experience to qualify under the 2nd preference (EB-2) category.6. Three-year Bachelor’s Degree + two-year Master’s Degree (India) + five years' progressive, post-Master’s Degree experience – Generally, the educational degrees would be determined to be the equivalent of a U.S. Bachelor’s + one year and the beneficiary would meet the statutory requirement.7. Three-year Bachelor’s Degree + two-year Master’s Degree + one-year postgraduate diploma (India) – Generally, this would be the equivalent of a Bachelor’s Degree + one year and would require five years' progressive experience to qualify under the 2nd preference category (EB-2). If the postgraduate diploma is determined to be progressive postgraduate education that is a continuation of the three-year Bachelor’s Degree or the two-year Master’s Degree, it is possible that this would be considered the equivalent to a U.S. Master’s Degree, and there would be no need to establish five years' progressive experience.The petition must include documentation, such as an official academic record showing that the alien has a U.S. advanced degree or a foreign equivalent degree, or an official academic record showing that the alien has a U.S. baccalaureate degree or a foreign equivalent degree and letters from current or former employers showing that the alien has at least five years of progressive post-baccalaureate experience in the specialty. The post-baccalaureate experience should reflect increasing or advancing levels of responsibility and knowledge in the specialty. The profession should be an occupation for which a baccalaureate degree or its foreign equivalent is the minimum requirement for the entry in the field.",up,N/A
28,29,Trying for EB-2  . Job requirement says BS in engineering + 5 years of exp. No alternatives mentioned in PERM.Educational qualifications: Diploma + AMIE + M.TechExperience: 7 Years exp. post M.tech from previous employer and 5 years from current employer. Does this can be classified under EB-2 for the above job requirement keeping AMIE degree in view? Would it be any issue during I140 regarding the education?,"The AMIE is iffy. In fact I recall anAAOdecision that said they will not recognize AMIE, but then a more recent decision was a bit more wishy-washy. Anyhow, I think an EB2 must be tried. The MTech will help.",up,N/A
29,30,Eligible for EB-2 . I have a 4 year bachelor's degree from India and 7 years experience. My company has applied for GC in EB-3 and my I-140 is approved. My PD is Sep 2010.My company name is now changed and they are saying that the process has to be restarted from the perm but I can keep my same PD.I checked with the lawyers to see if I'm eligible for EB2 and they said no. My job description says bachelors' degree and 3 or 5 years of experience and hence the lawyers are saying no. Their argument is that the USCIS will deny the application indicating that the job could be done by a person with 3 yrs experience. Am I qualified for EB-2?,"Note these points. First, a mere name change of the employer does NOT require that green card be started all over again. Second, if the sponsoring employer stops business operations,USCIScan take away your priority date. And, third, the job must REQUIRE 5 year’s exp.",up,N/A
30,31,Restart the green card under EB-2 category . My Labour is filed in EB-3 & my PD is Oct-2003. I got my EAD in 2007. I have a BE degree from India & a work experience of 13 years. 5 in India & 8 in USA. Am I eligible for porting to EB-2? If I file a fresh EB-2 what is the process? Is it just the Perm process & I- 140 or do I need to file I- 485 again.,"People with over 5 years of exp. after a 4-year degree may be ale to restart the green card under EB-2 category and then port theirPD. Basically, you are redoing thePERMandI-140for an EB-2 level job.",up,N/A
31,32,Avoiding PERM through EB-2 category . If one applies through EB2 category can the PERM also be avoided then?,You can avoid the need forPERMthrough EB-2 only if you are applying for a National Interest Waiver.,up,N/A
32,33,"EB2 Master's equivalency and employer . Regarding EB-2 application, which is more likely to be approved (or faster), the Master's equivalency (BS graduate to be evaluated in a university to be master's equivalent) OR the 5 years progressive experience? There's only one Occupational Therapist that I know personally who was approved and it was through the Master's equivalency (she didn't even have 5 years experience). Also, would it rely/depend on the employer's capability to support documents or does it also depend on how meticulous the lawyer is with the details to be submitted in the USCIS?","It all begins with the lawyers. So, make sure your counsel are meticulous and plan for every possible eventuality they can think of. The job HAS to be described truthfully.",up,N/A
33,34,EB-3 to EB-2 with the same employer . My PD is EB3 - Dec 2007. I have 3+2 years of education from India which is equivalent to US Bachelors. I have 3 years of experience before joining the current empoyer. Now I have more than 10 years of experience(including the experience with the current employer). I would like to know if I can apply again in EB-2 with the same employer using the experience gained from current employer.,"You can, if the job offered is more than 50% different than the job you were performing so far with the same employer.",up,N/A
34,35,"Am I eligible for EB-2 or is it too early for  green card . I am with a major US university as professor for only 9 months (H1B). Physician+PhD, 16 years professional experience in Europe, 20 papers, 1 book. Am I eligible for EB2 or is it too early to apply for EB green card?",You are certainly eligible for EB2 and you must apply as soon as possible. Professorial jobs can reuse existing advertisements if they filePERMwithin 18 months of when the job was offered to them. You should also have your resume assessed for a simultaneous EB1 application.,up,N/A
35,36,"Do I qualify for EB-2 ? . I did three year bachelor of computer science degree from India in June 2005.Then I joined master of computer Applications program (M.C.A) in India in Aug 2005 (3 year program). While still being enrolled in masters degree program, I joined a full time job in a software company in Jan 2006. I was awarded master of computer applications(3 year degree)in 2008, until dec 2010 (5 years) I worked with the same company in a full time job. after i moved to us. Now I am working with US based company from 7 months as a full time employee.(total experience 5 years 7 months).Do I qualify for EB-2.",You qualify.,up,N/A
36,37,"Chances to get EB2 with B.Sc. . I have B.Sc. from Israel(06/2002) At 10/2002 I started M.Sc. At the same time I was working as QA eng.(1.5 years) and was checking exercises and exams in university.I stopped my M.Sc. in the middle and joined the company I am working for till now. After 3 years I was relocated to US. Currently I am 4 years in relocation and decided to apply for green card. The law firm, my company works with, decided that I should be on EB3 path.What are my chances to get the EB2 with B.Sc.(Israel)+1.5 years in QA(Israel)+3 years development(Israel)+4 years development(US)?",Your degree must be equivalent to a US Bach. degree. Incomplete degrees are not counted for EB2.,up,N/A
37,38,"EB-2 experience . I am currently on H1B and have I-140 approved on EB-3 with a PD of Oct 06. I have overall 9 years of experience, which includes 4.5 years outside current employer. However, I had resigned my current employer an year ago and worked for a different company for an year and then joined back my current employer in Aug 2010. Since I haven't been continuously employed with current employer, I am wondering if ALL years prior to Aug 2010 can be considered for EB2 qualification.","Continuous employment is not required, but you can use the experience with the same employer ONLY if the job you used to perform and the job you will perform after the green card are more than 50% different.",up,N/A
38,39,"Switching Jobs after I-140 approval . I-140 App Aug 8th 08, EB2 Priority Date Mar 7th 08, H-1 In 8th Year, expiring May 12,1.If I move to a new company (B), can I still keep my Priority Date which I have from my current company (A)?2.Can the current company (A) withdraw my application in such a way that I loose my priority date?","1. You can keep thePDonly as long as the sponsoring employer does not revoke your I-140, go out of business andUSCISdoes not revoke theI-140OR,USCISdoes not revoke the I-140 for fraud.2. No.",up,N/A
39,40,"Green Card Expenses . For an employment-based green card application in the EB2 category, my employer has said that they would be willing to make the application if I am willing to pay for it. Can the employee bear the total cost of the entire process -- including attorney's processing fees, filing fees for all stages, advertising fees, EAD, advance parole fees -- from start to final stamping?","The employer is bound by law to pay for all expenses, including legal fees, associated with thePERMprocess (but not the rest of the green card process).",up,N/A
40,41,"EB-2 Question . I have 3 yr BSc(Computer Science)+ 2 yr MSc(Information Technology)from India and I completed my MSc on May 2003 and I am currently working for my current employer from July 2008 and my job description requires Masters degree + 2 yrs to perform the job. Overall I started my career from Jan 2000 - Till Date. Am I eligible for EB2 please let me know? Also can u explain, will I fall into this category 3 yr bachelors degree + 2 yr masters degree = bachelors degree + 1 year and would require 5 yrs progressive experience to qualify under the EB2?",You could qualify for EB-2 under BS + 5.,up,N/A
41,42,Job description for the EB-2 . I've been working for the company that is sponsoring my green card for the past 2.5 years and some of the experiences/skills required in the Job Description were acquired working with this company. Is it valid to include those skills on the Job Description? Should I have acquired those skills before?,It is possible to use the after-acquired skills only if the job in the past and the green card job are more than 50% different.,up,N/A
42,43,"Perm process during OPT . I completed my master’s degree last summer and started working with a company from 2 months.I am in OPT status right now and I wanted to know, if I am eligible to file for Green Card process with my current employer. If yes can I file in EB2? I have 2 years IT experience in India If no, do I have to wait until I get H1b. Is the Green card process dependent on H1B?",This question requires your lawyers to assess the case. Generally speaking nothing stops you from filing aPERMapplication while onOPTand an Eb2 appears possible.,up,N/A
43,44,EB-3 category . I am on EB3 category and have been working in the IT sector for the last 6 years and one year ago I completed my MBA too. I am currently working as a contractor and using my EAD. I am on Adjustment of status right now. Is it possible to change my category from EB3 to EB2?,"It is possible, but the green card will have to be started again fromPERM.",up,N/A
44,45,Can I apply GC in EB-2 category? . I have BSC from India + 2 years diploma in NIIT (In H1 and L1 they considered my diploma as a master degree ..I guess) in India and 10 years of experience. Can I apply GC in EB2 category?,Diplomas are unpredictable. I think EB-2 is doubtful.,up,N/A
45,46,Am I eligible for EB2? . I have a BE (4 years) degree in Computer Science from India and have a work experience of 7.5 years in the related field. Am I eligible to apply GC in EB2 category?,You appear to be qualified for EB-2.,up,N/A
46,47,"EB-2 category eligibility . I am working for one of the largest companies as mechanical engineer. I am shifting from Mechanical engineer to Product development engineer job within the same company. The job requirement is BS + 2-5 years of experience. I haveBachelors 4 Years, Masters in USA, Research Assistant 1 year 4 months, Teaching Assistant 10 months, Experience as a Mechanical engineer 3 years 7 months.Am I eligible for eb2 category?",The minimum requirements for the job are 2 years exp. This job does not qualify for EB-2. You do.,up,N/A
47,48,EB-2 . I have 3 years bachelors in computer science and 2 years masters in computer science in India..My education evaluation says masters..so is it possible to apply in EB-2?,"It is possible, but your lawyers must assess which route is best for you: evaluate the two degrees to be equiv. to a Bach. and use Bach + 5 for EB-2 OR just use the Master's degree (risky).",up,N/A
48,49,EB-2 eligibility . I have a 4 years Bachelors Degree in Civil Engineering and I am working in IT Industry for the last 13 years with documented progressive experience. Do I qualify for EB2 or EB3?,EB2 is possible,up,N/A
49,50,"Accredited degrees . I have a 2 years B.Com from back home & a CA. I have 10yrs of Account exp, plus a CPA. My firm's lawyers refused to file EB-2 & insisted on EB-3. I know two people form another account firm with the same credentials (even same university) who filed EB-2 & got GC. When I got my H1B, I got foreign credentials evaluated & received equivalence to BBA (Accounting & Finance) based on B.Com & CA. But Lawyers insisted that for GC process USCIS won't consider CA.",Your lawyers are right in that CA is not accepted as education byUSCIS. Speak with a credentials evaluation agency about Master's degrees.,up,N/A
50,51,"Can I change jobs and file PERM and I-140 under EB-2 . Can I change jobs and file PERM and I-140 under EB2 instead prior EB3 with the new employer. How risky the situation is? I can stay with my current employer, but it is going to take at another 3 years to get my GC under EB3. My PD is Feb 2007.","You can fileI-485in the month when your priority date becomes current (and then getEAD). Priority dates are reported in theVisa Bulletin. I see no problem in carrying the priority date forward if you file an EB-2 through a new employer. As to risk, that needs to be evaluated by your lawyers.",up,N/A
51,52,"EB-2 . I have a Masters in Biomedical Engineering and work in a company that implements eQMS for Biologics, Med Device and Pharma companies. I work as a Senior Consultant. If I apply for my GC, would it qualify for EB2? Also, once I start the application process, if I leave my employer and join another employer, would I have to restart the GC process from the new employer?","You COULD qualify for EB-2 depending upon your qualifications and the job requirements. If you leave beforeI-140is approved, you may get nothing out of the process. But leaving after I-140 approval gets you your priority date to carry forward.",up,N/A
52,53,"Job Change after I-140 . I am in the 5th year of my H1. My current employer has filed for my PERM under EB-3 category since I did not have 5 years experience before (EB-3 has 6 years backlog though EB-2 queue for me is current). I want to know is it possible to wait for I-140 approval, get 3 year extension with current employer and then switch jobs? Will I be able to get 3 more years on H1 with future employer?",It is possible and common for employer B to get H-1extensionbased upon anI-140approval of employer A. You need to speak about the details with a lawyer.,up,N/A
53,54,"Filing EB-2 . I have a BE (4 yrs) from India and MS (2 yrs) from US and have 2 years work experience. I have to start my green card process in 2011 and I have good chances of promotion to senior engineer also next year.1. Should I wait for the promotion before starting GC process in order to qualify for EB2?2. My company has a requirement of BS+5yrs exp for senior level. Will BS+MS+2 yrs exp be equivalent?3. Should the job description specifically state BS+5 yrs OR MS+2yrs, or either is fine?",You need to speak with your lawyers to decide on the timing of the filing. For EB-2 a requirement of minimum Master's degree or in the alternative Bach. + 5 years of post bach experience qualifies you for an EB-2.,up,N/A
54,55,Eligibility for EB2 . I have Bachelor of Business Administration (3Yrs) and Higher Diploma in Software Engineering (2Yrs) and 10 Yrs of Experience in which 7.5 Yrs of experience in required job description. Will I be eligible for EB2 Category?,Depends. If the SE diploma is post graduate (not available for undergrads) AND recognized - you MAY be eligible for EB-2.,up,N/A
55,56,EB2 Eligibility . I have to apply the GC under EB2 category. I have done my B.Sc(CS - 3 yrs) + M.Sc (CS - 2yrs) and having 9 years experience with Tech Architect - Lead(leading 5-20 peoples) position at this moment. My M.Sc(CS) has evaluated as US MS for H1 visa approval. Will I eligible ?,"If your BS and MS are in the same field and are related to your work, EB-2 should work.",up,N/A
